RegionID,RegionName,City,State,Metro,CountyName,2015-01,2016-01,2016-02,B01001_011E,B01001_035E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B03001_003E,B19013_001E,B19113_001E,B25001_001E,B25002_002E,B25003_002E,B25075_023E,B25075_024E,B25075_025E,B25002_003E,B25077_001E,B25064_001E
74184.0,37127,Murfreesboro,TN,Nashville,Rutherford,97.0,105.0,106.0,473,504,13085,2457,45,867,20,32,242,289,65589,70893,6349,5988,4843,5,0,0,361,172300,904
91705.0,77056,Houston,TX,Houston,Harris,245.0,263.0,264.0,1149,821,13528,1015,7,2144,11,478,332,2481,92521,127440,11998,9423,4326,784,690,969,2575,589300,1278
60298.0,06415,Town of Colchester,CT,New London,New London,134.0,136.0,136.0,518,553,16202,178,1,172,0,33,263,326,99720,107885,7026,6055,4847,79,9,64,971,275600,1112
91289.0,76164,Fort Worth,TX,Dallas-Fort Worth,Tarrant,56.0,59.0,59.0,871,670,11100,327,270,21,7,5281,495,15912,34526,37448,5233,4804,2897,0,0,0,429,70500,708
96222.0,90732,Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,351.0,352.0,352.0,484,594,14835,539,83,1789,8,1038,1518,5139,84537,103191,8793,8191,5617,1896,734,131,602,494000,1689
80287.0,50316,Des Moines,IA,Des Moines,Polk,72.0,76.0,76.0,679,603,11523,2925,65,1078,17,615,837,3780,38407,43505,6338,5688,3365,0,0,5,650,90200,769
98145.0,95367,Riverbank,CA,Modesto,Stanislaus,144.0,159.0,161.0,915,902,18965,402,128,809,149,2486,1106,12719,59056,62374,7394,6921,4807,71,7,6,473,176100,1070
98510.0,95959,Nevada City,CA,Truckee,Nevada,208.0,216.0,218.0,390,208,15322,146,172,477,59,205,632,1073,58913,69236,8097,7168,5384,1047,365,189,929,385800,1126
100478.0,99901,Ketchikan,AK,Ketchikan,Ketchikan Gateway,180.0,175.0,176.0,487,457,9359,55,2049,842,6,50,1333,636,61712,84698,6199,5305,2985,154,30,18,894,261600,1054
76945.0,44022,Chagrin Falls,OH,Cleveland,Geauga,136.0,139.0,140.0,165,165,15623,245,0,382,0,20,237,305,93668,121210,7095,6886,5650,720,163,313,209,338200,1262
72332.0,32963,Vero Beach,FL,Vero Beach,Indian River,245.0,269.0,270.0,41,35,14033,161,0,84,0,35,79,343,96272,121618,11856,7199,6587,1265,465,1429,4657,486100,1441
72337.0,32968,Vero Beach,FL,Vero Beach,Indian River,101.0,109.0,109.0,263,392,13483,508,60,202,0,92,371,1239,63042,70093,5574,5005,4433,77,18,38,569,189700,1080
58541.0,01904,Lynn,MA,Boston,Essex,195.0,215.0,216.0,458,586,14602,1221,0,524,0,1065,641,2250,81258,90817,6874,6640,5183,105,39,13,234,271000,1188
96393.0,91377,Oak Park,CA,Ventura,Ventura,353.0,366.0,367.0,329,275,11870,44,18,1951,0,207,422,1013,117326,134178,5389,5178,3740,1455,801,482,211,649100,2001
58874.0,02723,Fall River,MA,Providence,Bristol,128.0,135.0,135.0,446,402,11606,916,0,261,0,848,772,1197,31255,36127,7320,6482,1700,0,0,0,838,216500,704
96204.0,90701,Artesia,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,335.0,350.0,351.0,526,535,6660,628,127,6048,0,2562,673,6364,60544,62485,4656,4517,2328,524,84,65,139,401000,1382
