success_metric,zipcode
0.0275061124694,85032
0.145367412141,85032
0.134560906516,85032
0.0367293397464,85032
0.0145631067961,85032
0.0,85032
0.253378378378,85032
0.0219298245614,85032
0.0130293159609,85032
0.248243148278,85032
0.0572519083969,85032
0.0323788546256,85032
0.072441548486,85032
0.0,85032
0.0550891920252,85032
0.0154525386313,85032
0.140425531915,85032
0.370967741935,85032
0.0224679029957,85032
0.0,85032
0.0,85032
0.833333333333,85032
0.0344287949922,85032
0.0,85032
0.268597471332,85032
0.0158439975625,85032
0.460683760684,85032
0.0,85032
0.0726783310902,85032
0.0,85032
0.0288822205551,85032
0.0,85032
0.110133104337,85032
1.79237288136,85032
0.0118694362018,85032
0.301926080167,85032
0.110769230769,85032
0.393666563179,85032
0.0,85032
0.0367647058824,85032
0.00867678958785,85032
0.0,85032
0.0451612903226,85032
0.0,85032
0.0,85032
0.0417028670721,85032
0.0287277701778,85032
0.0,85032
0.0,85032
0.4,85032
0.0461538461538,85032
0.0,85032
0.0463821892393,85032
0.340312278211,85032
0.0385756676558,85032
0.0584178498986,85032
0.012482168331,85032
0.155555555556,85032
1.66451612903,85032
0.01050558109,85032
0.0,85032
0.30303030303,85032
0.0,85032
0.0,85032
0.0216744581385,85032
0.0,85032
0.0427493713328,85032
0.0549763033175,85032
0.0,85032
0.0909090909091,85032
0.90306122449,85032
0.00922131147541,85032
0.351293103448,85032
0.871369294606,85032
0.581460674157,85032
0.145161290323,85032
0.0,85032
0.0551710880431,85032
0.0,85032
0.148148148148,85032
0.0,85032
0.0625698324022,85032
0.0,85032
0.0537560303239,85032
0.217391304348,85032
0.400921658986,85032
0.0,85032
0.188679245283,85032
0.0,85032
0.0,85032
0.134272300469,85032
0.0122799836267,85032
0.0,85032
0.0,85032
0.0473799126638,85032
0.0,85032
0.65850945495,85032
0.190763707572,85032
0.0385395537525,85032
0.057924888606,85032
0.0696721311475,85032
0.328915662651,85032
0.0250965250965,85032
0.0,85032
0.0,85032
0.206989247312,85032
0.433333333333,85032
0.0097503900156,85032
0.0225903614458,85032
0.0172303765156,85032
0.279379157428,85032
0.786628733997,85032
0.0,85032
1.11801242236,85032
0.0,85032
0.112627291242,85032
1.58516483516,85032
0.0,85032
0.00955414012739,85032
0.0428769017981,85032
0.469160768453,85032
0.126645768025,85032
0.416184971098,85032
0.0918918918919,85032
0.45390070922,85032
0.163897763578,85032
0.0,85032
0.351301115242,85032
0.0,85032
1.97931034483,85032
0.682302771855,85032
0.0134078212291,85032
0.0,85032
0.00983698707139,85032
0.0,85032
0.010162601626,85032
0.0370514820593,85032
0.256097560976,85032
0.0,85032
0.0336585365854,85032
0.0,85032
0.026622296173,85032
0.0,85032
0.326910516003,85032
0.1,85032
0.112831858407,85032
0.217594031707,85032
0.0432098765432,85032
0.0316856780735,85032
0.0180761781795,85032
0.0,85032
0.0257961783439,85032
0.0104675505932,85032
0.106226025376,85032
1.35030864198,85032
0.185072353389,85032
0.0438144329897,85032
0.0,85032
0.00734843845683,85032
0.0188895248998,85032
0.00261172373767,85032
0.165849981153,85032
0.0,85032
0.385144429161,85032
0.0,85032
0.0335695635957,85032
0.126375515818,85032
0.0617821782178,85032
0.0,85032
0.228085106383,85032
0.129056047198,85032
0.0,85032
