_c0,2016_02,zipcode
0.214499761556,177,85257
0.29624548738,113,89143
0.0106385016781,136,15243
0.365631296345,113,89145
0.416988835116,141,85234
0.0199582027168,118,85361
0.0282687401677,80,15202
0.0474111498131,36,15210
0.110689976664,137,89005
0.0726783963824,,85017
0.090776106237,84,89106
0.0880651419564,98,89081
0.154042574767,142,53704
0.0833996626759,132,85213
0.0220125786164,591,93013
0.0594985651578,,85019
0.03092160949,,85354
0.157700536397,125,89131
0.125770017827,86,85138
0.0812601860987,107,85302
0.0438113156897,100,61822
0.138051936494,70,89030
0.0365059197008,82,15136
0.200475227499,160,85044
0.131591451966,147,85298
0.0860278862032,116,85053
0.103881278539,65,15147
0.0402441415721,77,28212
0.340248859829,249,85018
0.0298383720676,67,15235
0.0513667585792,86,28120
0.0292628024761,193,85263
0.0898220936045,113,28078
0.282320083604,121,89183
0.118863846866,84,61821
0.194445674487,191,53705
0.0880851210187,47,15219
0.141061779969,126,28277
0.0617696227324,91,85143
0.0196393218696,136,53558
0.0922683972959,146,85086
0.0297423131186,123,85375
0.0733644992622,109,85120
0.584933346086,116,89118
0.0691748435521,144,85207
0.0507663608649,99,28278
0.652418378334,105,15234
0.0690035139685,77,85009
0.181846072013,132,28205
0.0764273760979,85,15218
0.0367197662999,93,89086
0.101277604139,102,89156
0.234151605158,119,89149
0.0409501936368,,15260
1.14659762868,103,89142
0.118289696952,115,85340
0.130846738519,128,85205
0.0536065196034,95,85323
0.0426982946956,126,85119
0.110214373582,185,53715
0.297751927937,178,85251
0.154076848932,99,29715
0.0948435522523,128,85206
0.135321169692,170,85284
0.0204185685727,55,85128
0.150570570605,108,85029
0.308616482511,245,85003
0.205823814261,103,89032
0.234167360433,173,85028
0.0355406451867,233,53726
0.186684041918,142,85233
0.197874265299,243,85255
0.104689817878,77,85122
0.100376916557,90,15227
0.174238357617,137,85296
0.124773178056,123,85203
0.33769705109,,15201
0.3315733722,96,89102
0.135286625652,130,85027
0.0402726154237,93,85351
0.403615169064,125,89148
0.12260662387,171,85050
0.151841786828,123,85381
0.0698883100976,,15208
0.287181537061,,85256
0.19532852786,135,85308
0.177032779347,106,85392
0.300787945684,162,89044
0.0805141095012,144,85215
0.287627267358,186,85004
0.210813370537,116,89128
0.216740589584,91,15106
0.0806466575667,97,85037
0.0947566229238,161,85048
0.212227604175,149,85286
0.273738382886,132,85295
0.311819895447,134,85382
0.038636268911,87,85363
0.0426821395013,91,85041
0.213014844052,101,89110
0.0482403883999,88,28227
0.0858941459898,86,15216
0.121540209804,158,53562
0.0785113896308,140,85310
0.0522745836745,,85031
0.0888506963113,148,53717
0.0470716062894,,85033
0.0527194142375,103,85303
0.137566328406,,28244
0.0780179350746,107,53590
0.0937154044195,97,15213
0.085086465354,,85035
0.16340521249,144,85282
0.0233700391615,103,85307
0.261706960749,101,89119
0.0724194625631,117,29708
0.0900090009001,32,15104
0.194580518182,113,85201
0.101435041537,80,61820
0.137352814969,198,28209
0.189573468259,123,85212
0.0778271433447,73,28217
0.0,114,18104
0.0894115502582,189,85268
0.0172910662824,,87701
0.282825243636,247,28203
0.170793791881,150,85390
0.0293551667121,,85264
0.234403884615,166,85281
0.300889513197,122,89014
0.265376245867,153,89144
0.0469207180403,156,53593
0.259041014607,215,85054
0.343667479915,162,89052
0.385394543067,153,85248
0.109872786212,103,28134
0.366163856826,126,89147
0.163744790878,111,85345
0.10407477634,90,28273
0.0671641791045,,70113
0.134179175339,49,15212
0.136258732492,121,85194
0.0977251657181,122,85008
0.139989242612,157,15217
0.1699015312,155,85226
0.202595440037,134,85395
0.077621135388,101,89122
0.609609224958,,89101
0.0610006421889,79,28214
0.062025972214,91,89115
0.204362092443,181,85013
0.0293464571129,148,85087
0.109170305677,,53529
0.377288685843,139,85225
0.0,,75247
0.263334808148,196,85254
0.0436209539475,96,85335
0.09005576091,101,29710
0.147827898442,199,15232
0.0856865932637,106,28105
0.132760412488,149,53719
0.0615893251384,112,15017
0.0351506456241,109,85373
0.0536519558869,123,28270
0.0660807204934,81,15223
0.0447389450358,118,29707
0.412660748538,87,89169
0.153166829649,,15224
0.0894368237877,87,85040
0.0962741687817,103,89108
0.107005441116,97,85051
0.0631026542548,255,85262
0.0635725926669,144,53714
0.411245029298,107,89120
0.196398087857,150,89012
0.122813188501,146,15228
0.0639131674474,99,15209
0.0407522308436,,53598
0.0560498220641,,85322
0.269038293969,134,89123
0.119742201469,75,28206
0.0404538972952,150,85118
0.123707430796,131,85374
0.138406745697,87,89107
0.234265831557,218,85258
0.0100635721099,104,61874
0.175901501569,145,85224
0.203474573525,143,85020
0.235717779895,222,15222
0.0848309886713,83,61801
0.0679005117872,56,15207
0.128939147128,91,89121
0.0784762331335,83,85301
0.091808559595,93,28025
0.389009349562,160,85014
0.162962145261,153,85032
0.179398956066,119,85210
0.116834135709,166,53711
0.12114592108,124,85396
0.0,232,86336
0.0545625520852,131,15215
0.121119508379,138,85085
0.0246397091447,57,15034
0.379704141648,103,85324
0.155600048957,118,89129
0.199613490024,194,53703
0.101051650025,151,15238
0.0314318975553,,85553
0.162553913437,145,28210
0.0914050810714,118,89015
0.188519306435,136,85383
0.110598962313,70,28208
0.698309492848,166,89138
0.325513534043,130,89113
0.0465213634033,120,53527
0.286423219776,115,89166
0.152679778582,100,28079
0.0608131029846,89,15205
0.0658176235553,97,85339
0.0990032467485,54,15120
0.591746358321,320,89109
0.181976426587,146,85283
0.149396445338,265,28202
0.582781456954,125,89179
0.0644743323888,75,28213
0.0566920552563,134,53718
0.100000169294,108,85338
0.0574763988599,100,28012
0.180084802173,211,28204
0.0537203130614,75,28216
0.285071722129,132,85034
0.16762783797,202,85260
0.182361492609,144,85249
0.0520334115086,,85337
0.2475353515,118,89130
0.0872525981927,124,89011
0.312383787717,88,89104
0.118960380502,184,85331
0.0298498883438,73,61802
0.139542860783,133,85023
0.884617140913,172,89135
0.341962961447,104,85388
0.0226760319112,110,53589
0.0398311826893,,53706
0.0784705688674,82,28262
0.0663427842168,106,28075
0.0170454545455,,89124
0.143636155871,144,85022
0.0953158199041,105,85379
0.256976151455,156,89134
0.128199871654,151,85007
0.151898734177,104,15229
0.148182660583,251,85377
0.144183836555,287,28207
0.0721972499185,110,85042
0.125545423371,187,85250
0.116977954191,113,89084
0.0947288890747,71,15233
0.110913863228,95,85140
0.115899822868,106,15203
0.153299958903,135,85297
1.00571477562,79,15206
0.454823279298,,89019
0.0287247601838,94,85043
0.0500866315198,71,15122
0.0213219955221,,89191
0.0638960971438,139,85021
0.319808623735,,85006
0.0575178483633,88,85326
0.0479822904855,109,15236
0.223958847454,121,85208
0.305898421223,183,85016
0.272615004714,91,85353
0.155984476431,184,28211
0.0181983621474,,28101
0.0378432306176,,85342
0.346555218585,131,89117
0.316334442049,105,89103
0.0259433962264,102,28110
0.429717895768,107,89146
0.0968045032937,132,85209
0.727895978643,124,89139
0.103986984389,119,28104
0.115349550609,100,28027
0.0953122750591,80,85132
0.151924007315,150,85024
0.204306870269,246,85266
0.0996776446317,107,89031
0.0415098403846,76,28215
0.0779463759467,113,85015
0.101406748729,,28280
0.0821328920883,117,85306
0.529251307133,205,85012
1.29364608162,,28282
0.209345530021,88,28269
0.157049920427,146,53716
0.0455318817263,105,15220
0.286884211583,366,85253
0.0476579520697,85,28127
0.175225988204,127,85202
0.317292652155,129,89141
0.169050351167,80,85139
0.0553889893488,121,53597
0.194602781978,68,15211
0.144824418282,127,85204
0.106570052751,110,53532
0.0977821548474,220,85259
0.0377253672882,130,53713
0.0406626506024,91,29732
0.133475484967,121,89178
0.115609498986,126,89002
0.0621011165195,78,15226
0.338736583597,112,85142
0.0841064306722,112,85304
0.0481669076977,140,85083
0.575048951101,131,89074
0.0840416847793,135,28226
0.0949509664359,62,15221
0.0962806315991,136,15241
0.229485880186,112,85305
